Data,Hora,Ação
2025-05-09,06:23:18,Usuário clicou em 'Cópia/Mover Arquivos'
2025-05-09,06:37:27,Usuário clicou em 'Verificar Duplicados'
2025-05-09,06:38:06,Usuário clicou em 'Verificar Duplicados'
2025-05-09,06:43:22,Usuário clicou em 'Verificar Duplicados'
2025-05-09,06:45:58,Usuário clicou em 'Verificar Duplicados'
2025-05-09,06:46:49,Usuário clicou em 'Verificar Duplicados'
2025-05-09,06:47:31,Usuário clicou em 'Verificar Duplicados'
2025-05-09,06:55:37,Usuário clicou em 'Verificar Duplicados'
2025-05-09,06:58:54,Usuário clicou em 'Verificar Duplicados'
2025-05-09,07:06:10,Usuário clicou em 'Verificar Duplicados'
2025-05-09,07:14:29,Usuário clicou em 'Verificar Duplicados'
